Start (ET),Visitor/Neutral,Visitor PTS,Home/Neutral,Home PTS,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes,game_type,Date_Clean,Home Rest,Visitor Rest,team_i,team_j,margin_ij,rest_i,rest_j,home_i,home_j,id_i,location_i,id_j,location_j,location_game,Visitor Travel,Home Travel,travel_i,travel_j
7:30p,Chicago Bulls,111,Toronto Raptors,108,Box Score,,19800.0,Scotiabank Arena,,Regular Season,2021-10-25,2,2,Chicago Bulls,Toronto Raptors,3,2,2,0,1,5,"[41.884250000000065, -87.63244999999995]",28,"[43.65352400000006, -79.38390699999997]","[43.65352400000006, -79.38390699999997]",701.1164527339557,0.0,701.1164527339557,0.0
10:30p,Portland Trail Blazers,86,Los Angeles Clippers,116,Box Score,,15672.0,Crypto.com Arena,,Regular Season,2021-10-25,2,2,Los Angeles Clippers,Portland Trail Blazers,30,2,2,1,0,13,"[34.053570000000036, -118.24544999999995]",25,"[45.511790000000076, -122.67562999999996]","[34.053570000000036, -118.24544999999995]",1328.580375209273,0.0,0.0,1328.580375209273
7:00p,Boston Celtics,140,Charlotte Hornets,129,Box Score,OT,17238.0,Spectrum Center,,Regular Season,2021-10-25,1,1,Boston Celtics,Charlotte Hornets,11,1,1,0,1,2,"[42.35866000000004, -71.05673999999993]",4,"[35.222860000000026, -80.83795999999995]","[35.222860000000026, -80.83795999999995]",1490.0960059258516,854.0388035997169,1490.0960059258516,854.0388035997169
7:30p,Orlando Magic,90,Miami Heat,107,Box Score,,19600.0,FTX Arena,,Regular Season,2021-10-25,2,1,Miami Heat,Orlando Magic,17,2,1,1,0,16,"[25.77481000000006, -80.19772999999998]",22,"[28.538230000000055, -81.37738999999993]","[25.77481000000006, -80.19772999999998]",1756.8963045663836,1671.2557925083065,1671.2557925083065,1756.8963045663836
7:30p,Washington Wizards,90,Brooklyn Nets,104,Box Score,,14487.0,Barclays Center,,Regular Season,2021-10-25,1,3,Brooklyn Nets,Washington Wizards,14,1,3,1,0,3,"[40.692450000000065, -73.99035999999995]",30,"[38.890370000000075, -77.03195999999997]","[40.692450000000065, -73.99035999999995]",328.1217016485398,0.0,0.0,328.1217016485398
7:00p,Milwaukee Bucks,119,Indiana Pacers,109,Box Score,,10339.0,Gainbridge Fieldhouse,,Regular Season,2021-10-25,2,2,Milwaukee Bucks,Indiana Pacers,10,2,2,0,1,17,"[43.042230000000075, -87.90689999999995]",12,"[39.91980696400003, -86.28179348799995]","[39.91980696400003, -86.28179348799995]",1612.2134323635412,0.0,1612.2134323635412,0.0
7:30p,Detroit Pistons,104,Atlanta Hawks,122,Box Score,,14209.0,State Farm Arena,,Regular Season,2021-10-25,2,2,Atlanta Hawks,Detroit Pistons,18,2,2,1,0,1,"[33.74831000000006, -84.39110999999997]",9,"[42.33168000000006, -83.04799999999994]","[33.74831000000006, -84.39110999999997]",948.2166629426412,894.5240804404657,894.5240804404657,948.2166629426412
9:00p,Cleveland Cavaliers,99,Denver Nuggets,87,Box Score,,14221.0,Ball Arena,,Regular Season,2021-10-25,3,2,Cleveland Cavaliers,Denver Nuggets,12,2,3,0,1,6,"[41.50473000000005, -81.69073999999995]",8,"[39.74001000000004, -104.99201999999997]","[39.74001000000004, -104.99201999999997]",1970.3520788056549,0.0,1970.3520788056549,0.0
10:00p,Denver Nuggets,110,Utah Jazz,122,Box Score,,18306.0,Vivint Smart Home Arena,,Regular Season,2021-10-26,4,1,Utah Jazz,Denver Nuggets,12,4,1,1,0,29,"[40.76031000000006, -111.88821999999999]",8,"[39.74001000000004, -104.99201999999997]","[40.76031000000006, -111.88821999999999]",595.9884459147651,856.4018467926647,856.4018467926647,595.9884459147651
7:30p,Philadelphia 76ers,99,New York Knicks,112,Box Score,,15218.0,Madison Square Garden (IV),,Regular Season,2021-10-26,2,2,New York Knicks,Philadelphia 76ers,13,2,2,1,0,20,"[40.71455000000003, -74.00713999999994]",23,"[39.95222000000007, -75.16217999999998]","[40.71455000000003, -74.00713999999994]",2131.3996198202717,0.0,0.0,2131.3996198202717
8:30p,Los Angeles Lakers,125,San Antonio Spurs,121,Box Score,OT,18354.0,AT&T Center,,Regular Season,2021-10-26,3,2,Los Angeles Lakers,San Antonio Spurs,4,2,3,0,1,14,"[34.053570000000036, -118.24544999999995]",27,"[29.42458000000005, -98.49460999999997]","[29.42458000000005, -98.49460999999997]",1933.8410975353327,0.0,1933.8410975353327,0.0
8:00p,Golden State Warriors,106,Oklahoma City Thunder,98,Box Score,,0.0,Paycom Center,,Regular Season,2021-10-26,2,2,Golden State Warriors,Oklahoma City Thunder,8,2,2,0,1,10,"[37.777120000000025, -122.41963999999996]",21,"[35.472030000000075, -97.52106999999995]","[35.472030000000075, -97.52106999999995]",2149.4562346078665,0.0,2149.4562346078665,0.0
8:30p,Houston Rockets,106,Dallas Mavericks,116,Box Score,,19337.0,American Airlines Center,,Regular Season,2021-10-26,3,2,Dallas Mavericks,Houston Rockets,10,3,2,1,0,7,"[32.77822000000003, -96.79511999999994]",11,"[29.760780000000068, -95.36951999999997]","[32.77822000000003, -96.79511999999994]",361.83602461451153,1936.3340654258827,1936.3340654258827,361.83602461451153
7:30p,Indiana Pacers,100,Toronto Raptors,118,Box Score,,19800.0,Scotiabank Arena,,Regular Season,2021-10-27,2,2,Toronto Raptors,Indiana Pacers,18,2,2,1,0,28,"[43.65352400000006, -79.38390699999997]",12,"[39.91980696400003, -86.28179348799995]","[43.65352400000006, -79.38390699999997]",706.3106992332405,0.0,0.0,706.3106992332405
10:00p,Sacramento Kings,110,Phoenix Suns,107,Box Score,,14678.0,Phoenix Suns Arena,,Regular Season,2021-10-27,4,3,Sacramento Kings,Phoenix Suns,3,3,4,0,1,26,"[38.579440000000034, -121.49084999999997]",24,"[33.44825000000003, -112.07579999999996]","[33.44825000000003, -112.07579999999996]",1020.2155979103459,1617.6278121333462,1020.2155979103459,1617.6278121333462
10:30p,Cleveland Cavaliers,92,Los Angeles Clippers,79,Box Score,,13276.0,Crypto.com Arena,,Regular Season,2021-10-27,2,2,Cleveland Cavaliers,Los Angeles Clippers,13,2,2,0,1,6,"[41.50473000000005, -81.69073999999995]",13,"[34.053570000000036, -118.24544999999995]","[34.053570000000036, -118.24544999999995]",1335.4746929042994,0.0,1335.4746929042994,0.0
7:30p,Miami Heat,106,Brooklyn Nets,93,Box Score,,17732.0,Barclays Center,,Regular Season,2021-10-27,2,2,Miami Heat,Brooklyn Nets,13,2,2,0,1,16,"[25.77481000000006, -80.19772999999998]",3,"[40.692450000000065, -73.99035999999995]","[40.692450000000065, -73.99035999999995]",1755.1065114273936,0.0,1755.1065114273936,0.0
8:00p,Los Angeles Lakers,115,Oklahoma City Thunder,123,Box Score,,15783.0,Paycom Center,,Regular Season,2021-10-27,1,1,Oklahoma City Thunder,Los Angeles Lakers,8,1,1,1,0,21,"[35.472030000000075, -97.52106999999995]",14,"[34.053570000000036, -118.24544999999995]","[35.472030000000075, -97.52106999999995]",678.6097911322723,0.0,0.0,678.6097911322723
8:00p,Minnesota Timberwolves,113,Milwaukee Bucks,108,Box Score,,17341.0,Fiserv Forum,,Regular Season,2021-10-27,2,2,Minnesota Timberwolves,Milwaukee Bucks,5,2,2,0,1,18,"[46.34885576600004, -94.20079058299996]",17,"[43.042230000000075, -87.90689999999995]","[43.042230000000075, -87.90689999999995]",618.2973644856736,372.6363365482023,618.2973644856736,372.6363365482023
7:00p,Charlotte Hornets,120,Orlando Magic,111,Box Score,,14082.0,Amway Center,,Regular Season,2021-10-27,2,2,Charlotte Hornets,Orlando Magic,9,2,2,0,1,4,"[35.222860000000026, -80.83795999999995]",22,"[28.538230000000055, -81.37738999999993]","[28.538230000000055, -81.37738999999993]",745.0357149364328,328.6895952598936,745.0357149364328,328.6895952598936
10:00p,Memphis Grizzlies,96,Portland Trail Blazers,116,Box Score,,16241.0,Moda Center,,Regular Season,2021-10-27,2,3,Portland Trail Blazers,Memphis Grizzlies,20,2,3,1,0,25,"[45.511790000000076, -122.67562999999996]",15,"[35.14976000000007, -90.04924999999997]","[45.511790000000076, -122.67562999999996]",1328.580375209273,1328.580375209273,1328.580375209273,1328.580375209273
7:30p,Atlanta Hawks,102,New Orleans Pelicans,99,Box Score,,15541.0,Smoothie King Center,,Regular Season,2021-10-27,2,2,Atlanta Hawks,New Orleans Pelicans,3,2,2,0,1,1,"[33.74831000000006, -84.39110999999997]",19,"[29.953700000000026, -90.07774999999998]","[29.953700000000026, -90.07774999999998]",682.8105231496944,1857.6751899976725,682.8105231496944,1857.6751899976725
7:30p,Washington Wizards,116,Boston Celtics,107,Box Score,,0.0,TD Garden,,Regular Season,2021-10-27,2,2,Washington Wizards,Boston Celtics,9,2,2,0,1,30,"[38.890370000000075, -77.03195999999997]",2,"[42.35866000000004, -71.05673999999993]","[42.35866000000004, -71.05673999999993]",306.50932245414236,1159.6650149872178,306.50932245414236,1159.6650149872178
8:30p,San Antonio Spurs,99,Dallas Mavericks,104,Box Score,,19228.0,American Airlines Center,,Regular Season,2021-10-28,2,2,Dallas Mavericks,San Antonio Spurs,5,2,2,1,0,7,"[32.77822000000003, -96.79511999999994]",27,"[29.42458000000005, -98.49460999999997]","[32.77822000000003, -96.79511999999994]",406.4808075873742,0.0,0.0,406.4808075873742
7:00p,Atlanta Hawks,111,Washington Wizards,122,Box Score,,13653.0,Capital One Arena,,Regular Season,2021-10-28,1,1,Washington Wizards,Atlanta Hawks,11,1,1,1,0,30,"[38.890370000000075, -77.03195999999997]",1,"[33.74831000000006, -84.39110999999997]","[38.890370000000075, -77.03195999999997]",1552.5347750134338,634.5768369137277,634.5768369137277,1552.5347750134338
10:00p,Memphis Grizzlies,104,Golden State Warriors,101,Box Score,OT,18064.0,Chase Center,,Regular Season,2021-10-28,2,1,Memphis Grizzlies,Golden State Warriors,3,1,2,0,1,15,"[35.14976000000007, -90.04924999999997]",10,"[37.777120000000025, -122.41963999999996]","[37.777120000000025, -122.41963999999996]",860.3177190315666,2230.0534644838112,860.3177190315666,2230.0534644838112
8:00p,Utah Jazz,122,Houston Rockets,91,Box Score,,15858.0,Toyota Center,,Regular Season,2021-10-28,2,2,Utah Jazz,Houston Rockets,31,2,2,0,1,29,"[40.76031000000006, -111.88821999999999]",11,"[29.760780000000068, -95.36951999999997]","[29.760780000000068, -95.36951999999997]",1929.46724579575,361.83602461451153,1929.46724579575,361.83602461451153
8:00p,New York Knicks,104,Chicago Bulls,103,Box Score,,20972.0,United Center,,Regular Season,2021-10-28,3,2,New York Knicks,Chicago Bulls,1,2,3,0,1,20,"[40.71455000000003, -74.00713999999994]",5,"[41.884250000000065, -87.63244999999995]","[41.884250000000065, -87.63244999999995]",1144.4026196957925,701.1164527339557,1144.4026196957925,701.1164527339557
7:00p,Detroit Pistons,102,Philadelphia 76ers,110,Box Score,,20017.0,Wells Fargo Center,,Regular Season,2021-10-28,2,3,Philadelphia 76ers,Detroit Pistons,8,2,3,1,0,23,"[39.95222000000007, -75.16217999999998]",9,"[42.33168000000006, -83.04799999999994]","[39.95222000000007, -75.16217999999998]",1071.4117762592673,129.4998270280916,129.4998270280916,1071.4117762592673
7:30p,Charlotte Hornets,99,Miami Heat,114,Box Score,,19600.0,FTX Arena,,Regular Season,2021-10-29,2,2,Miami Heat,Charlotte Hornets,15,2,2,1,0,16,"[25.77481000000006, -80.19772999999998]",4,"[35.222860000000026, -80.83795999999995]","[25.77481000000006, -80.19772999999998]",328.6895952598936,1755.1065114273936,1755.1065114273936,328.6895952598936
